Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
499,tt3520418,2020-09-12,2020-09-12,,"We Are Still Here","We Are Still Here",https://www.imdb.com/title/tt3520418/,Movie,5.7,84,2015,"Horror, Mystery",21049,2015-05-30,"Ted Geoghegan",7,2020-09-12
500,tt2980592,2020-09-12,2020-09-12,,"The Guest","The Guest",https://www.imdb.com/title/tt2980592/,Movie,6.7,100,2014,"Action, Mystery, Thriller",113362,2014-09-05,"Adam Wingard",,
501,tt0098354,2020-10-20,2020-10-20,,"Society","Society",https://www.imdb.com/title/tt0098354/,Movie,6.5,99,1989,"Comedy, Horror",24572,1992-06-11,"Brian Yuzna",7,2022-10-26
502,tt1594562,2021-10-19,2021-10-19,,"The Innkeepers","The Innkeepers",https://www.imdb.com/title/tt1594562/,Movie,5.5,101,2011,"Drama, Horror, Mystery",39183,2011-03-12,"Ti West",7,2021-10-19
503,tt6644200,2021-10-19,2021-10-19,,"A Quiet Place","A Quiet Place",https://www.imdb.com/title/tt6644200/,Movie,7.5,90,2018,"Drama, Horror, Sci-Fi",649284,2018-04-06,"John Krasinski",8,2019-02-03
504,tt4267026,2021-10-19,2021-10-19,,"Hell House LLC","Hell House LLC",https://www.imdb.com/title/tt4267026/,Movie,6.4,93,2015,"Horror, Mystery",34726,2016-11-01,"Stephen Cognetti",5,2021-10-19
505,tt10521144,2021-10-27,2021-10-27,,"Nightbooks","Nightbooks",https://www.imdb.com/title/tt10521144/,Movie,5.8,103,2021,"Family, Fantasy, Horror, Mystery",11408,2021-09-15,"David Yarovesky",,
506,tt12829958,2021-10-28,2021-10-28,,"The Old Ways","The Old Ways",https://www.imdb.com/title/tt12829958/,Movie,5.4,90,2020,"Drama, Fantasy, Horror, Thriller",8903,2020-10,"Christopher Alender",,
507,tt1172994,2022-05-15,2022-05-15,,"The House of the Devil","The House of the Devil",https://www.imdb.com/title/tt1172994/,Movie,6.3,95,2009,"Horror, Mystery",55145,2009-04-25,"Ti West",7,2019-10-23
508,tt8663516,2022-10-25,2022-10-25,,"Child's Play","Child's Play",https://www.imdb.com/title/tt8663516/,Movie,5.7,90,2019,"Drama, Horror, Sci-Fi, Thriller",60076,2019-06-21,"Lars Klevberg",8,2022-10-25
509,tt13372992,2022-10-25,2022-10-25,,"Bingo Hell","Bingo Hell",https://www.imdb.com/title/tt13372992/,Movie,4.3,85,2021,"Comedy, Horror",3108,2021-10-01,"Gigi Saul Guerrero",7,2022-10-25
